ProductName,Brand,Price,DiscountPrice,Image_Url,Quantity,Category,SubCategory,Absolute_Url,Recipe Suggestion,Protein (g),Carbs (g),Fat (g),Fiber (g)
Gold Refined Cooking oil | Blended Rice Bran & Sunflower oil | Helps Keeps Heart Healthy,Saffola,250,185,https://www.bigbasket.com/media/uploads/p/l/147491_9-saffola-gold-refined-cooking-oil-blended-rice-bran-sunflower-oil-helps-keeps-heart-healthy.jpg,1 L,"Foodgrains, Oil & Masala",Blended Cooking Oils,https://www.bigbasket.com/pd/147491/saffola-gold-refined-cooking-oil-blended-rice-bran-sunflower-oil-helps-keeps-heart-healthy-1-l-pouch/,Vegetable Pulao,6,40,7,5
Green Moong - Whole,BB Popular,170,125,https://www.bigbasket.com/media/uploads/p/l/30010368_11-bb-popular-moong-green-wholesabut.jpg,1 kg,"Foodgrains, Oil & Masala","Toor, Channa & Moong Dal",https://www.bigbasket.com/pd/30010368/bb-popular-moong-green-wholesabut-1-kg-pouch/,Dal Tadka,9,18,3,4
Green Moong Whole/Hesaru Kaalu - Sabut,BB Royal,180,135,https://www.bigbasket.com/media/uploads/p/l/20000437_12-bb-royal-green-moong-wholesabut.jpg,1 kg,"Foodgrains, Oil & Masala","Toor, Channa & Moong Dal",https://www.bigbasket.com/pd/20000437/bb-royal-green-moong-wholesabut-1-kg-pouch/,Dal Tadka,9,18,3,4
"Green Moong/Hesaru Kaalu - Split, Chilka",BB Royal,180,135,https://www.bigbasket.com/media/uploads/p/l/40026594_10-bb-royal-green-moong-splitchilka.jpg,1 kg,"Foodgrains, Oil & Masala","Toor, Channa & Moong Dal",https://www.bigbasket.com/pd/40026594/bb-royal-green-moong-splitchilka-1-kg-pouch/,Dal Tadka,9,18,3,4
Green Peas,Super Saver,120,119,https://www.bigbasket.com/media/uploads/p/l/40159907_1-super-saver-green-peas.jpg,1 kg,"Foodgrains, Oil & Masala",Urad & Other Dals,https://www.bigbasket.com/pd/40159907/super-saver-green-peas-1-kg/,Dal Tadka,9,18,3,4
Green Peas/Ona Batani,BB Royal,290,139,https://www.bigbasket.com/media/uploads/p/l/70001283_9-bb-royal-green-peasmatar.jpg,1 kg,"Foodgrains, Oil & Masala",Urad & Other Dals,https://www.bigbasket.com/pd/70001283/bb-royal-green-peasmatar-1-kg-pouch/,Dal Tadka,9,18,3,4
"Himalayan Pink Rock Salt - For Daily Use, No Chemicals",Natureland Organics,98,73.5,https://www.bigbasket.com/media/uploads/p/l/40261317_1-natureland-organics-himalayan-pink-rock-salt-for-daily-use-no-chemicals.jpg,1 kg,"Foodgrains, Oil & Masala",Organic Masalas & Spices,https://www.bigbasket.com/pd/40261317/natureland-organics-himalayan-pink-rock-salt-for-daily-use-no-chemicals-1-kg/,Mixed Veg Curry,4,14,7,4
Idli Rice,BB Royal,65,48,https://www.bigbasket.com/media/uploads/p/l/10000450_17-bb-royal-idli-rice.jpg,1 kg,"Foodgrains, Oil & Masala",Boiled & Steam Rice,https://www.bigbasket.com/pd/10000450/bb-royal-idli-rice-1-kg-pouch/,Idli / Dosa,5,20,2,3
Idli Rice,BB Popular,55,47,https://www.bigbasket.com/media/uploads/p/l/40128959_8-bb-popular-idli-rice.jpg,1 kg,"Foodgrains, Oil & Masala",Boiled & Steam Rice,https://www.bigbasket.com/pd/40128959/bb-popular-idli-rice-1-kg/,Idli / Dosa,5,20,2,3
Idli Sooji,Super Saver,50,39,https://www.bigbasket.com/media/uploads/p/l/40159983_2-super-saver-idli-sooji.jpg,1 kg,"Foodgrains, Oil & Masala","Sooji, Maida & Besan",https://www.bigbasket.com/pd/40159983/super-saver-idli-sooji-1-kg-0/,Idli / Dosa,5,20,2,3
Idli Sooji/Rava,BB Royal,60,41,https://www.bigbasket.com/media/uploads/p/l/20000525_4-bb-royal-idli-soojirava.jpg,1 kg,"Foodgrains, Oil & Masala","Sooji, Maida & Besan",https://www.bigbasket.com/pd/20000525/bb-royal-idli-soojirava-1-kg-pouch/,Idli / Dosa,5,20,2,3
Indian Raisins/Ona Drakshi,BB Royal,600,420,https://www.bigbasket.com/media/uploads/p/l/40053923_5-bb-royal-raisinskishmish.jpg,1 kg,"Foodgrains, Oil & Masala",Raisins,https://www.bigbasket.com/pd/40053923/bb-royal-raisinskishmish-1-kg/,Dry Fruit Ladoo,5,20,10,2
Iodized Crystal Salt/Uppu,Aashirvaad,22,16.5,https://www.bigbasket.com/media/uploads/p/l/40210226_2-aashirvaad-iodized-crystal-salt.jpg,1 kg,"Foodgrains, Oil & Masala",Salts,https://www.bigbasket.com/pd/40210226/aashirvaad-iodized-crystal-salt-1-kg-no/,Mixed Veg Curry,4,14,7,4
"Jaggery - Rich In Iron, Treats Anemia",Super Saver,96,64,https://www.bigbasket.com/media/uploads/p/l/40237738_1-super-saver-jaggery-rich-in-iron-treats-anemia.jpg,1 kg,"Foodgrains, Oil & Masala",Sugar & Jaggery,https://www.bigbasket.com/pd/40237738/super-saver-jaggery-rich-in-iron-treats-anemia-1-kg/,Mixed Veg Curry,4,14,7,4
Jaggery - Square,BB Royal,100,70,https://www.bigbasket.com/media/uploads/p/l/10000491_6-bb-royal-jaggery-square.jpg,1 kg,"Foodgrains, Oil & Masala",Sugar & Jaggery,https://www.bigbasket.com/pd/10000491/bb-royal-jaggery-square-1-kg/,Mixed Veg Curry,4,14,7,4
Jaggery Bucket,BB Royal,100,66,https://www.bigbasket.com/media/uploads/p/l/40211198_1-bb-royal-jaggery-bucket.jpg,1 kg,"Foodgrains, Oil & Masala",Sugar & Jaggery,https://www.bigbasket.com/pd/40211198/bb-royal-jaggery-bucket-1-kg/,Mixed Veg Curry,4,14,7,4
Jaggery/Bella Round,BB Royal,100,70,https://www.bigbasket.com/media/uploads/p/l/10000489_11-bb-royal-jaggery-round.jpg,1 kg,"Foodgrains, Oil & Masala",Sugar & Jaggery,https://www.bigbasket.com/pd/10000489/bb-royal-jaggery-round-1-kg/,Mixed Veg Curry,4,14,7,4
Ladies Finger (Loose),Fresho,63.64,49,https://www.bigbasket.com/media/uploads/p/l/10000142_16-fresho-ladies-finger.jpg,1 kg,Fruits & Vegetables,"Beans, Brinjals & Okra",https://www.bigbasket.com/pd/10000142/fresho-ladies-finger-1-kg/,Mixed Veg Curry,4,14,7,4
Lettuce - Iceberg,Fresho,81.82,44,https://www.bigbasket.com/media/uploads/p/l/10000132_17-fresho-lettuce-iceberg.jpg,1 pc,Fruits & Vegetables,Exotic Vegetables,https://www.bigbasket.com/pd/10000132/fresho-lettuce-iceberg-1-pc/,Saag/Leafy Veg Curry,5,10,5,5
